# class	code	page	at	shifted	gold	claude
OTHER	CEDT301	CEDT301_0_0.html	-1	0	1A 1B 1C 2A 2B 2C 3A 3B 3C 3D 4A 5A 5B 5C 5D 6A 6B 6C 6D 6E	1A 1A 1B 1B 1C 2A 2A 2B 2C 3A 3B 3C 4A 2A 2B 2C 2D 4A 4B 4C 4D
OTHER	CEDT404	CEDT404_0_0.html	-1	0	1A 1B 2A 3A 4A 5A 5B	2A 2B 3A 5A 6A
MISSING1	CEDT501	CEDT501_1_0.html	0	0	1A	
SHIFTED	CEDT501	CEDT501_1_1.html	0	0	1B	1A
MISSING1	CEDT501	CEDT501_3_0.html	1	0	3A 3B	3A
MISSING1	CEDT501	CEDT501_3_1.html	0	0	3C	
MISSING1	CEDT501	CEDT501_5_0.html	1	0	5A 5B	5A
OTHER	CEDT501	CEDT501_5_1.html	-1	0	5C 5D	5E
MISSING1	CEDT501	CEDT501_6_0.html	2	0	6A 6B 6C	6A 6B
OTHER	CEDT501	CEDT501_6_1.html	-1	0	6D 6E	6C 6A 6E
OTHER	CEDT501	CEDT501_7_0.html	-1	0	7A 7B	
OTHER	CEDT501	CEDT501_8_0.html	-1	0	8A 8B	
OTHER	CEDT501	CEDT501_13_0.html	-1	0	8C 8D	13A
MISSING1	CEDW101	CEDW101_0_0.html	14	0	1A 1B 1C 1D 2A 2B 2C 2D 3A 3B 3C 4A 4B 4C 4D	1A 1B 1C 1D 2A 2B 2C 2D 3A 3B 3C 4A 4B 4C
SHIFTED	CEDW201	CEDW201_0_0.html	3	0	1A 1B 1C 1D 2A 2B 2C 2D 3A 3B 4A 4B 4C 4D 4E	1A 1B 1C 2A 2B 2C 2D 3A 3B 3C 4A 4B 4C 4D 4E
MISSING1	CEDW501	CEDW501_1_0.html	1	0	1A 1B 1C	1A 1C
MISSING1	CEDW501	CEDW501_2_1.html	1	0	2B 2C	2B
OTHER	CEDW501	CEDW501_3_0.html	-1	0	3A 3B 3C 3D 3E 3F	3A 3B 3C 3D 3E 3F 3G 3H 3I
MISSING1	CEDW501	CEDW501_3_1.html	1	0	3G 3H	3G
MISSING1	CEDW501	CEDW501_4_0.html	0	0	4A	
MISSING1	CEDW501	CEDW501_6_0.html	0	0	6A 6B 6C 6D 6E	6B 6C 6D 6E
OTHER	CEDW501	CEDW501_7_2.html	-1	0	7A 7B 7C 7D 7E 7F 7G	7A
MISSING1	CEDW501	CEDW501_8_0.html	0	0	8A	
OTHER	CHFUN05	CHFUN05_0_0.html	-1	0	1A 1B 1C 1D 1E 1F 1G 1H 1J 1K 1L 1M 11A 1A 2A 3A 4A 5A 6A 7A 8A 9A 10A 11A 12A 13A 14A 15A 16A 17A 18A 19A 20A 21A 22A 23A 24A 25A	1A 1B 1C 1D 1E 1F 1G 1H 1I 1J 1K 2A 2B 2C 2D 2E 2F 2G 2H 2I 2J 2K 2L 2M 2N 2O 2P 2Q 2R 2S 2T 2U 2V 2W
OTHER	CHFUN06	CHFUN06_0_0.html	-1	0	1A 1B 1C 1D 1E 1F 2A 2B	1A 1B 1C 1D 1E 1F
MISSING1	CHFUN07	CHFUN07_0_0.html	1	0	1A 1B 2A 2B 2C	1A 2A 2B 2C
MISSING1	CHWHA	CHWHA_0_0.html	0	0	1A 1B 1C 1D 1E 1F	1B 1C 1D 1E 1F
MISSING1	COM1002	COM1002_1_0.html	0	0	1A	
OTHER	COM1002	COM1002_2_0.html	-1	0	2A 2B 2C 2D	
MISSING1	COM1002	COM1002_3_0.html	1	0	3A 3B	3A
MISSING1	COM1002	COM1002_5_0.html	0	0	5A	
OTHER	COM1005	COM1005_2_0.html	-1	0	2A 2B 2C 2D 2E	2A 2D
OTHER	COM1005	COM1005_3_0.html	-1	0	3A 3B 3C	3A 3B 3B 3.2 3C
OTHER	COM1005	COM1005_4_0.html	-1	0	4A 4B	3A
MISSING1	COM1005	COM1005_6_0.html	1	0	6A 6B	6A
OTHER	COM1005	COM1005_7_0.html	-1	0	7A 7B	
EXTRA1	COM1006	COM1006_2_0.html	1	0	2A	2A 2B
EXTRA1	COM1006	COM1006_5_0.html	2	0	5A 5B	5A 5B 5C
SHIFTED	COM1006	COM1006_8_0.html	0	0	8A	8B
MISSING1	DAN1003	DAN1003_2_0.html	1	0	2A 2B	2A
MISSING1	DAN1003	DAN1003_3_0.html	0	0	3A	
OTHER	DAN1003	DAN1003_5_0.html	-1	0	6A	5A 5B
MISSING1	DAN1003	DAN1003_6_0.html	0	0	7A	
SHIFTED	DAN1003	DAN1003_7_0.html	0	0	8A 8B	7A 7B
MISSING1	DAN1003	DAN1003_8_0.html	0	0	9A	
OTHER	DAN1004	DAN1004_1_0.html	-1	0	1A 1B	
MISSING1	DAN1004	DAN1004_2_0.html	0	0	2A	
MISSING1	DAN1004	DAN1004_3_0.html	0	0	3A	
MISSING1	DAN1004	DAN1004_4_0.html	0	0	4A	
MISSING1	DAN1004	DAN1004_5_0.html	0	0	5A	
MISSING1	DAN1004	DAN1004_6_0.html	0	0	6A	
MISSING1	DAN1004	DAN1004_7_0.html	0	0	7A	
MISSING1	DAN1004	DAN1004_9_0.html	0	0	8A	
SHIFTED	DAN1006	DAN1006_3_0.html	0	0	4A	3A
SHIFTED	DAN1006	DAN1006_4_0.html	0	0	3A	4A
MISSING1	DAN1006	DAN1006_6_0.html	0	0	6A	
OTHER	DAN1006	DAN1006_7_0.html	-1	0	7A 7B	
MISSING1	DAN1006	DAN1006_8_0.html	0	0	8A	
MISSING1	DAN1006	DAN1006_9_0.html	0	0	9A	
MISSING1	DTC1004	DTC1004_2_0.html	1	0	2A 2B	2A
MISSING1	DTC1004	DTC1004_5_0.html	0	0	5A	
OTHER	DTC1004	DTC1004_7_0.html	-1	0	7A 7B	
MISSING1	DTC1005	DTC1005_18_0.html	0	0	6A	
SHIFTED	DTC1005	DTC1005_19_0.html	0	0	6B	19A
MISSING1	DTC1005	DTC1005_20_0.html	0	0	7A	
OTHER	ENFUN01	ENFUN01_0_0.html	-1	0	1A 1B 1C 1D 1E 2A 2B 2C 3A 3B 3C 3D 3E 4A 4B 4C 4D	1A 1B 1C 1D 1E 2A 2B 3A 3B 3C 3D 3E 3F 4A 4B
OTHER	ENFUN02	ENFUN02_0_0.html	-1	0	1A 1B 1C 1D 1E 2A 2B 3A 3B 3C 3D 4A 4B 4C 4D	1A 1B 1C 2A 2B 3A 3B 3C 3D 4A 4B 4C 4D
OTHER	ENFUN03	ENFUN03_0_0.html	-1	0	1A 1B 1C 1D 2A 2B 2C 2D 3A 3B 3C 3D 3E 4A 4B 4C	1A 1B 1C 1D 2A 2B 2C 2C 2D 2E 3A 3B 3C 3D 3E 4A 4B 4C
MISSING1	ENFUN04	ENFUN04_0_0.html	3	0	1A 1B 1C 1D 2A 2B 2C 2D 3A 3B 3C 3D 4A 4B	1A 1B 1C 2A 2B 2C 2D 3A 3B 3C 3D 4A 4B
OTHER	ENFUN08	ENFUN08_0_0.html	-1	0	1A 1B 1C 1D 1E 1E 2A 2B 2C 2D 2E 3A 3B 3C 3D 4A 4B 4C 4D	1A 1B 1C 1D 1E 1F 2A 2B 2C 2D 2E 3A 3B 3C 4A 4B 4C 4D
OTHER	ENG1004	ENG1004_0_0.html	-1	0	1A 1B 1C 1D	
OTHER	ENG1004	ENG1004_1_0.html	-1	0	1A 1B 1C 1D	
OTHER	ENG1004	ENG1004_2_0.html	-1	0	1A 1B 1C 1D	
EXTRA1	ENGC101	ENGC101_1_0.html	2	0	1A 1B	1A 1B 1C
EXTRA1	ENGC101	ENGC101_3_0.html	5	0	3A 3B 3C 3D 3E	3A 3B 3C 3D 3E 3F
MISSING1	ENGC101	ENGC101_4_0.html	3	0	4A 4B 4C 4D	4A 4B 4C
MISSING1	ENGC101	ENGC101_5_0.html	4	0	5A 5B 5C 5D 5E	5A 5B 5C 5D
MISSING1	ENGC102	ENGC102_1_0.html	2	0	1A 1B 1C	1A 1B
MISSING1	ENGC102	ENGC102_2_0.html	4	0	2A 2B 2C 2D 2E	2A 2B 2C 2D
MISSING1	ENGC102	ENGC102_3_0.html	0	0	3A 3B 3C 3D 3E	3B 3C 3D 3E
OTHER	ENGC102	ENGC102_4_0.html	-1	0	4A 4B 4C 4D 4E 4F	4A 4B 4C 4D
OTHER	ENGC102	ENGC102_7_0.html	-1	0	7A 7B 7C 7D 7E 7F	7A 7B 7C 7D
MISSING1	ENGC201	ENGC201_5_0.html	3	0	5A 5B 5C 5D	5A 5B 5C
MISSING1	ENGC201	ENGC201_6_0.html	3	0	6A 6B 6C 6D	6A 6B 6C
MISSING1	ENGC204	ENGC204_2_0.html	0	0	2A 2B 2C 2D 2E	2B 2C 2D 2E
MISSING1	ENGC204	ENGC204_3_0.html	2	0	3A 3B 3C 3D	3A 3B 3D
MISSING1	ENGC204	ENGC204_5_0.html	2	0	5A 5B 5C 5D 5E	5A 5B 5D 5E
OTHER	ENGC204	ENGC204_6_0.html	-1	0	6A 6B 6C 6D 6E 6F	6E 6F
EXTRA1	ENGC206	ENGC206_1_0.html	5	0	1A 1B 1C 1D 1E	1A 1B 1C 1D 1E 1F
OTHER	ENGC206	ENGC206_4_0.html	-1	0	2A 2B 2C 2D	2A 2B 2C 2D 2E 2F
EXTRA1	ENGC206	ENGC206_5_0.html	6	0	3A 3B 3C 3D 3E 3F	3A 3B 3C 3D 3E 3F 3G
EXTRA1	ENGC206	ENGC206_6_0.html	5	0	4A 4B 4C 4D 4E	4A 4B 4C 4D 4E 4F
OTHER	ENGC206	ENGC206_7_0.html	-1	0	5A 5B 5C 5D 5E 5F 5G	5A 5B 5C 5D 5E
EXTRA1	ENGC301	ENGC301_6_0.html	3	0	6A 6B 6C	6A 6B 6C 6D
OTHER	ENGC301	ENGC301_7_0.html	-1	0	7A 7B 7C 7D	7A 7B
MISSING1	ENGC302	ENGC302_2_0.html	1	0	2A 2B	2A
MISSING1	ENGC302	ENGC302_3_0.html	1	0	3A 3B	3A
MISSING1	ENGC302	ENGC302_5_0.html	0	0	5A	
OTHER	ENGC302	ENGC302_6_0.html	-1	0	6A 6B 6C	6A
MISSING1	ENGC302	ENGC302_7_0.html	0	0	7A	
MISSING1	ENGC401	ENGC401_5_0.html	1	0	5A 5B	5A
OTHER	ENGC403	ENGC403_2_0.html	-1	0	2A 2B	2A 2B 2C 2D 2E
MISSING1	ENGC403	ENGC403_3_0.html	0	0	3A 3B	3B
SHIFTED	ENGC403	ENGC403_4_2.html	0	0	6D	4.2
SHIFTED	ENGC403	ENGC403_5_0.html	0	0	7A	5A
OTHER	ENGC403	ENGC403_7_0.html	-1	0	5C 5D 5E 5F	4.1 7B 7B 7D 7E 7F
SHIFTED	ENGC403	ENGC403_8_0.html	0	0	6A 6B 6C	4.2 4.2 8C
OTHER	ENGC403	ENGC403_9_0.html	-1	0	8A 8B	9A
OTHER	ENGC403	ENGC403_11_0.html	-1	0	6E 6F	4.2
SHIFTED	ENGC403	ENGC403_12_0.html	0	0	9A	7A
SHIFTED	ENGC403	ENGC403_13_0.html	0	0	7B	5B
MISSING1	ENGFUN02	ENGFUN02_0_0.html	0	0	1A	
MISSING1	ENGFUN02	ENGFUN02_1_0.html	0	0	2A	
MISSING1	ENGFUN02	ENGFUN02_2_0.html	0	0	3A	
MISSING1	ENGFUN02	ENGFUN02_3_0.html	0	0	4A	
MISSING1	ENGFUN02	ENGFUN02_4_0.html	0	0	5A	
OTHER	ENGI101	ENGI101_1_0.html	-1	0	2A 2B 2C	1A 1B 1C 1D 1E
OTHER	ENGI101	ENGI101_1_1.html	-1	0	3A 3B	2A 2B 2C 2D 2E
OTHER	ENGI101	ENGI101_1_2.html	-1	0	5A 5B	3A 3B 3C 3D 3E
OTHER	ENGI102	ENGI102_2_0.html	-1	0	1A 1A 1A 1A 1B	1A
SHIFTED	ENGI102	ENGI102_4_0.html	1	0	2A 2B	2A 2C
OTHER	ENGI102	ENGI102_6_0.html	-1	0	3A 3A 3A 3A 3B 3C	3A 3B
EXTRA1	ENGI102	ENGI102_10_0.html	4	0	5A 5B 5C 5D	5A 5B 5C 5D 5E
OTHER	ENGI103	ENGI103_6_0.html	-1	0	6A 6B 6C 6D 6E	6A 6B 6C 6F
OTHER	ENGI201	ENGI201_1_0.html	-1	0	1A 1B 1C 1D	1A 1B 1C 1D 1E 1F 1G
EXTRA1	ENGI201	ENGI201_2_0.html	4	0	2A 2B 2C 2D	2A 2B 2C 2D 2E
MISSING1	ENGI201	ENGI201_3_0.html	3	0	3A 3B 3C 3D	3A 3B 3C
EXTRA1	ENGI201	ENGI201_4_0.html	3	0	4A 4B 4C	4A 4B 4C 4D
MISSING1	ENGI202	ENGI202_4_0.html	1	0	4A 4D	4A
OTHER	ENGI202	ENGI202_5_0.html	-1	0	5A 5B 5C	5A
EXTRA1	ENGI203	ENGI203_2_0.html	1	0	2A	2A 2B
MISSING1	ENGI203	ENGI203_4_0.html	2	0	4A 4B 4C	4A 4B
MISSING1	ENGI203	ENGI203_5_0.html	1	0	5A 5B	5A
MISSING1	ENGI203	ENGI203_6_0.html	2	0	6A 6B 6C	6A 6B
MISSING1	ENGI203	ENGI203_7_0.html	2	0	7A 7B 7C	7A 7B
MISSING1	ENGI203	ENGI203_8_0.html	2	0	8A 8B 8C	8A 8B
MISSING1	ENGI203	ENGI203_9_0.html	1	0	9A 9C	9A
OTHER	ENGI203	ENGI203_10_0.html	-1	0	10A 10B 10C 10D	10A 10B
OTHER	ENGI301	ENGI301_1_0.html	-1	0	1A 1B 1C	1A
MISSING1	ENGI301	ENGI301_2_0.html	0	0	2A	
MISSING1	ENGI301	ENGI301_4_0.html	1	0	4A 4B	4A
OTHER	ENGI301	ENGI301_5_0.html	-1	0	6A 6B 6C	5A
MISSING1	ENGI302	ENGI302_3_0.html	1	0	3A 3B	3A
SHIFTED	ENGI302	ENGI302_4_0.html	1	0	4A 4B 4C 4D	4A 1A 4C 2A
MISSING1	ENGI302	ENGI302_6_0.html	3	0	6A 6B 6C 6D	6A 6B 6C
EXTRA1	ENGI400	ENGI400_2_0.html	3	0	2A 2B 2C	2A 2B 2C 2D
MISSING1	ENGI400	ENGI400_3_0.html	2	0	3A 3B 3C	3A 3B
OTHER	ENGI401	ENGI401_6_0.html	-1	0	5.1A 5.1B 5.1C	6A 6B 6C 6D
OTHER	ENGI401	ENGI401_7_0.html	-1	0	5.2A 5.2B 5.2C	7A 7B 7C 7D
SHIFTED	ENGI401	ENGI401_8_0.html	0	0	5.3A 5.3B 5.3C	8A 8B 8C
SHIFTED	ENGI401	ENGI401_9_0.html	0	0	6.1A 6.1B 6.1C	9A 9B 9C
SHIFTED	ENGI401	ENGI401_10_0.html	0	0	6.2A 6.2B 6.2C	10A 10B 10C
OTHER	ENGI401	ENGI401_11_0.html	-1	0	6.3A 6.3B 6.3C	11A 11B
OTHER	ENGI405	ENGI405_1_0.html	-1	0	1A 1B 1C 1D 1E	1A 1B 1C
OTHER	ENGI405	ENGI405_5_0.html	-1	0	5F 5G 5H 5I 5J 5K 5L 5M 5N 5O 5Q 5R	5A 5B 5C 5D 5E 5F 5G 5H 5I 5J 5K 5L 5M 5N 5O 5P
SHIFTED	ENGJ101	ENGJ101_2_0.html	0	0	2A 2C	2B 2C
OTHER	ENGJ102	ENGJ102_1_0.html	-1	0	1A 1B 1C 1D 1E 1F 1G 1H 1I 1J	1A 1B 1C 1D
EXTRA1	ENGJ102	ENGJ102_2_0.html	2	0	2A 2B	2A 2B 2C
OTHER	ENGJ102	ENGJ102_3_0.html	-1	0	3A 3B	3A 3B 3C 3D
EXTRA1	ENGJ102	ENGJ102_4_0.html	3	0	4A 4B 4C	4A 4B 4C 4D
MISSING1	ENGJ202	ENGJ202_3_0.html	3	0	3A 3B 3C 3D	3A 3B 3C
MISSING1	ENGJ301	ENGJ301_6_0.html	2	0	6A 6B 6C	6A 6B
OTHER	ENGJ301	ENGJ301_7_0.html	-1	0	7A 7B 7C 7D 7E 7F 7E	7A 7B 7C 7D 7E
OTHER	ENGJ302	ENGJ302_1_0.html	-1	0	1A 1B	
MISSING1	ENGJ302	ENGJ302_9_0.html	0	0	8A	
EXTRA1	ENGJ402	ENGJ402_2_0.html	1	0	2A	2A 2B
MISSING1	ENGJ402	ENGJ402_5_0.html	1	0	5A 5B	5A
MISSING1	ENGJ402	ENGJ402_8_0.html	0	0	8A 8A	8A
MISSING1	ENGR101	ENGR101_1_0.html	3	0	1A 1B 1C 1D	1A 1B 1C
MISSING1	ENGR101	ENGR101_4_0.html	0	0	4A 4B 4C	4B 4C
OTHER	ENGR101	ENGR101_7_0.html	-1	0	7A 7B 7C	7A
MISSING1	ENGR202	ENGR202_1_0.html	1	0	1A 1B	1A
OTHER	ENGR202	ENGR202_2_0.html	-1	0	2A 2B 2C 2D 2E	2B 2E
OTHER	ENGR301	ENGR301_3_0.html	-1	0	3E 3F	3A 3B 3C 3D 3E
SHIFTED	ENGR301	ENGR301_8_0.html	0	0	8A	7A
OTHER	ENGR302	ENGR302_1_0.html	-1	0	1A 1B 1C	1A 1B 1C 1D 1E
SHIFTED	ENGR302	ENGR302_2_0.html	0	0	3A 3B 3C 3D	2A 2B 2C 2D
SHIFTED	ENGR302	ENGR302_3_0.html	0	0	4A 4B 4C 4D 4E 4F	3A 3B 3C 3D 3E 3F
OTHER	ENGR302	ENGR302_4_0.html	-1	0	5A 5B 5C	4A 4C
OTHER	ENGR302	ENGR302_5_0.html	-1	0	6A 6B 6C 6D 6E 6F 6G	5A 5B 5C 5D 5F 5G
SHIFTED	ENGR302	ENGR302_6_0.html	0	0	7A 7B 7C	6A 6B 6C
SHIFTED	ENGR302	ENGR302_7_0.html	0	0	8A 8B 8C 8D	7A 7B 7C 7D
OTHER	ENGS101	ENGS101_2_0.html	-1	0	2A 2B 2C 2D	2A 2B
MISSING1	ENGS101	ENGS101_3_0.html	3	0	3A 3B 3C 3D	3A 3B 3C
MISSING1	ENGS101	ENGS101_5_0.html	1	0	5A 5B 5C	5A 5C
MISSING1	ENGS102	ENGS102_1_0.html	3	0	1A 1B 1C 1D	1A 1B 1C
SHIFTED	ENGS102	ENGS102_4_0.html	0	0	4A 4B 4C 4D	3A 3B 3C 3D
SHIFTED	ENGS102	ENGS102_5_0.html	0	0	5A 5B 5C	4A 4B 4C
OTHER	ENGS102	ENGS102_6_0.html	-1	0	6A 6B 6C 6D 6E	5A 5B 5C 5D 5E 5F
OTHER	ENGS201	ENGS201_7_0.html	-1	0	7A 7B 7C 7D	7A 7D
OTHER	ENGS201	ENGS201_8_0.html	-1	0	8A 8B 8C 8D	8A 8D
MISSING1	ENGS202	ENGS202_1_0.html	2	0	1A 1B 1C	1A 1B
MISSING1	ENGS202	ENGS202_3_0.html	1	0	3A 3B	3A
SHIFTED	ENGS202	ENGS202_4_0.html	0	0	4B	4A
MISSING1	ENGS202	ENGS202_5_0.html	0	0	5A	
OTHER	ENGS301	ENGS301_2_0.html	-1	0	2A 2B	
MISSING1	ENGS301	ENGS301_3_0.html	1	0	3A 3B	3A
OTHER	ENGS301	ENGS301_7_0.html	-1	0	7A 7B 7C	7A
EXTRA1	ENGS302	ENGS302_2_0.html	3	0	2A 2B 2C	2A 2B 2C 2D
EXTRA1	ENGS302	ENGS302_4_0.html	3	0	4A 4B 4C	4A 4B 4C 4D
OTHER	ENGS302	ENGS302_6_0.html	-1	0	6A 6B 6C 6D	7A 7B 7C 7D 7E 7F 7G 7H 7I
SHIFTED	ENGS401	ENGS401_4_0.html	2	0	4A 4B 4B 4C	4A 4B 4C 4D
OTHER	ENGS404	ENGS404_2_0.html	-1	0	2A 2B 2C 2D 2E	2B 2C
OTHER	ENGS404	ENGS404_3_0.html	-1	0	3A 3B	
OTHER	ENGS404	ENGS404_4_0.html	-1	0	4A 4B 4C	6B 6A
MISSING1	ENGS404	ENGS404_6_0.html	0	0	6A	
MISSING1	ENGS404	ENGS404_9_0.html	0	0	9A	
MISSING1	ENO2060	ENO2060_1_0.html	3	0	1A 1B 1C 1D	1A 1B 1C
EXTRA1	ENO2060	ENO2060_2_0.html	3	0	2A 2B 2C	2A 2B 2C 2D
OTHER	ENO2060	ENO2060_3_0.html	-1	0	4A 4B	3A
OTHER	ENO2060	ENO2060_4_0.html	-1	0	5A 5B 5C	4A 4B
OTHER	ENO2060	ENO2060_8_0.html	-1	0	6A 6B 6C 6D	
OTHER	EXBP901	EXBP901_1_0.html	-1	0	1A 1B 1C 1D 1E	
OTHER	EXBP901	EXBP901_3_0.html	-1	0	2A 2B 2C 2D 2E 2F 2G 2H 2I	3A 3B 3C 3D
SHIFTED	EXBP901	EXBP901_4_0.html	0	0	3A 3B 3C 3D	4A 4B 4C 4D
OTHER	EXIP901	EXIP901_2_0.html	-1	0	1A 1B 1C 1D 1E	2A
OTHER	EXIP901	EXIP901_4_0.html	-1	0	2A 2B 2C 2D 2E 2F 2G 2H 2I	4A 4B 4C 4D
OTHER	EXIP901	EXIP901_5_0.html	-1	0	3A 3B 3C 3D	5A 5B
SHIFTED	EXPFUN02	EXPFUN02_0_0.html	2	0	1A 2A 3A 4A 5A 6A	1A 2A 2B 1A 2D 1A
OTHER	EXPFUN03	EXPFUN03_0_0.html	-1	0		1A 1A 1A 1A 1A 1A
SHIFTED	EXPFUN05	EXPFUN05_0_0.html	2	0	1A 2A 3A 4A 5A 6A	1A 2A 1A 1A 1A 1A
MISSING1	EXPFUN06	EXPFUN06_0_0.html	0	0	1A	
MISSING1	EXPFUN07	EXPFUN07_0_0.html	0	0	1A	
OTHER	FRFUN06	FRFUN06_0_0.html	-1	0	1A 1B 1C 1D 1E 1F 1G 1H	2A 6A
OTHER	FRFUN06	FRFUN06_1_0.html	-1	0	2A 2B 2C 2D 2E	1A 1C 1B 1D 1E 1F
OTHER	FRFUN06	FRFUN06_2_0.html	-1	0	3A 3B 3C 3D 3E 3F 3G	2A 2B 2C 2D
OTHER	FRFUN06	FRFUN06_3_0.html	-1	0	4A 4B 4C	3A 4A
SHIFTED	FRFUN06	FRFUN06_4_0.html	0	0	5A 5B 5C 5D	1A 2A 4C 4D
OTHER	FRFUN06	FRFUN06_5_0.html	-1	0	6A 6B 6C 6D	5A
OTHER	FRFUN06	FRFUN06_6_0.html	-1	0	7A 7B	6A
OTHER	FRFUN06	FRFUN06_8_0.html	-1	0	2A 2B	8A
SHIFTED	FRFUN06	FRFUN06_9_0.html	0	0	3A 3B	9A 9B
MISSING1	FRFUN07	FRFUN07_3_0.html	0	0	3A	
EXTRA1	FRFUN07	FRFUN07_4_0.html	1	0	4A	4A 4B
SHIFTED	FRFUN07	FRFUN07_6_0.html	0	0	1A	6A
SHIFTED	FRFUN07	FRFUN07_7_0.html	0	0	3A	7A
SHIFTED	FRFUN07	FRFUN07_8_0.html	0	0	4A	8A
SHIFTED	FRFUN08	FRFUN08_5_0.html	0	0	5A	2A
OTHER	FRNO901	FRNO901_1_0.html	-1	0	1A 1B 1C 1D 1E 1F	1A 1B 1C 1F
OTHER	FRNO901	FRNO901_2_0.html	-1	0	2A 2B 2C 2D	2A
OTHER	FRNO901	FRNO901_3_0.html	-1	0	3A 3B 3C 3D 3E	3A 3B
OTHER	FRNO901	FRNO901_4_0.html	-1	0	4A 4B 4C 4D 4E	4A 4B
OTHER	FRNO901	FRNO901_5_0.html	-1	0	5A 5B 5C 5D 5E	5A 5B
OTHER	FRNO901	FRNO901_6_0.html	-1	0	6A 6B 6C 6D 6E 6F 6G	
OTHER	FRNO901	FRNO901_7_0.html	-1	0	7A 7B	
MISSING1	FRNO901	FRNO901_8_0.html	0	0	8A	
OTHER	FRNO902	FRNO902_1_0.html	-1	0	1A 1B 1C 1D 1E 1F	1A
OTHER	FRNO902	FRNO902_2_0.html	-1	0	2A 2B 2C 2D 2E 2F	2A 2B
OTHER	FRNO902	FRNO902_3_0.html	-1	0	3A 3B 3C 3D 3E 3F 3G	3A 3B
OTHER	FRNO902	FRNO902_4_0.html	-1	0	4A 4B 4C 4D 4E 4F 4G 4H	4A 4B 4C 4D
OTHER	FRNO902	FRNO902_5_0.html	-1	0	5A 5B 5C 5D 5E 5F	5A 5B 5C 5D
OTHER	FRNO902	FRNO902_6_0.html	-1	0	6A 6B 6C 6D 6E 6F 6G 6H	6A 6B 6C
OTHER	FRNO902	FRNO902_7_0.html	-1	0	7A 7B 7C 7D 7E	7A
OTHER	FRNO902	FRNO902_8_0.html	-1	0	8A 8B 8C	
OTHER	GENO901	GENO901_1_0.html	-1	0	1A 1B 1C 1D 1E	1A 1B 1C
EXTRA1	GENO901	GENO901_2_0.html	5	0	2A 2B 2C 2D 2E	2A 2B 2C 2D 2E 2F
OTHER	GENO901	GENO901_3_2.html	-1	0	3A 3B 3C 3D 3E 3F 3G 3H	3A 3C
OTHER	GENO901	GENO901_4_1.html	-1	0	4A 4B 4C 4D ? 4E	4D 4E
OTHER	GENO901	GENO901_5_0.html	-1	0	5A 5B 5C 5D 5E 5F 5G	
OTHER	GENO901	GENO901_6_0.html	-1	0	6A 6B 6C 6D 6E 6F	6A 6B 6C
OTHER	GENO901	GENO901_7_3.html	-1	0	7A 7B 7C 7D	1.0
OTHER	GENO901	GENO901_8_0.html	-1	0	8A 8B 8C	8A
OTHER	GEO1005	GEO1005_1_0.html	-1	0	1A 1B 1C 1D	1A
MISSING1	GEO1005	GEO1005_2_0.html	0	0	2A	
MISSING1	GEO1005	GEO1005_3_0.html	1	0	3A 3B 3C	3A 3C
OTHER	GEO1005	GEO1005_4_0.html	-1	0	4A 4B 4C	
OTHER	GEO1005	GEO1005_5_0.html	-1	0	5A 5B 5C	
MISSING1	GEO1005	GEO1005_6_0.html	0	0	6A	
OTHER	GEO1006	GEO1006_1_0.html	-1	0	1A 1B 1C	1A
OTHER	GEO1006	GEO1006_2_0.html	-1	0	2A 2B	
OTHER	GEO1006	GEO1006_3_0.html	-1	0	3A 3B	
OTHER	GEO1006	GEO1006_4_0.html	-1	0	4A 4B 4C	4B 4A
MISSING1	GEO1006	GEO1006_5_0.html	1	0	5A 5B	5A
OTHER	GER1002	GER1002_1_0.html	-1	0	1A 1B 1C	
SHIFTED	GER1002	GER1002_2_0.html	0	0	2A 2B 2C	2 3 5B
OTHER	GEWHA	GEWHA_0_0.html	-1	0	1A 1B 1C 1D	2
OTHER	HES1002	HES1002_1_0.html	-1	0	1A 1B 1B 1C	1A 1B
EXTRA1	HES1002	HES1002_2_0.html	1	0	2A	2A 2B
SHIFTED	HES1002	HES1002_4_0.html	0	0	2A 2A	4A 4B
MISSING1	HES1002	HES1002_6_0.html	1	0	6A 6B	6A
MISSING1	HES1002	HES1002_7_0.html	0	0	7A	
MISSING1	HES1003	HES1003_4_0.html	2	0	4A 4B 4C	4A 4B
MISSING1	HES1003	HES1003_7_0.html	1	0	7A 7B	7A
MISSING1	HES1004	HES1004_3_0.html	0	0	3A	
EXTRA1	HES1005	HES1005_3_0.html	3	0	3A 3B 3C	3A 3B 3C 3D
MISSING1	HES1005	HES1005_4_0.html	1	0	4A 4B	4A
SHIFTED	HES1005	HES1005_6_0.html	0	0	5A 5B	6A 6B
OTHER	HES1005	HES1005_7_0.html	-1	0	7A 7B 7C 7D 7E 7F	7A 7B 7C
OTHER	HES1005	HES1005_8_0.html	-1	0	6A 6B 6C	8A 8B
EXTRA1	HES1006	HES1006_1_0.html	1	0	1A	1A 1B
MISSING1	HES1006	HES1006_2_0.html	1	0	2A 2B	2A
MISSING1	HES1006	HES1006_3_0.html	0	0	3A	
MISSING1	HES1006	HES1006_4_0.html	0	0	4A	
MISSING1	HES1006	HES1006_5_0.html	1	0	5A 5B	5A
MISSING1	HES1006	HES1006_6_0.html	1	0	6A 6B	6A
OTHER	HES1007	HES1007_1_0.html	-1	0	1A 1B 1C	
